1;Remember; les parachutistes de la France Libre - 40 à 43; Raymond Forgeat; Service historique de l'armée de terre, Vincennes; 1990; ISBN 2-86323-064-6
3;Qui ose gagne; les parachutistes du 2ème R.C.P. « France-Belgique 1943-1945 »; Henri Corta, Noël Créau, Philippe Reinhart; Service historique de l'armée de terre; 1997; ISBN 2-86323-103-0 (QOG2)
5;Qui ose gagne; les parachutistes de la France Libre 3ème S.A.S « Grande Bretagne-France 1943-1944 »; Roger Flamand; Service historique de l'armée de terre; 1998; ISBN 2-907-341-63-3
6;Amherst; les parachutistes de la France Libre 3ème et 4ème S.A.S « Hollande 1945 » ; Roger Flamand ; Atlante Editions ; Paris 1998; ISBN 2-912671-05-1
7;Aux carrefours de la guerre; ; P.-A. Léger ; Editions Albin Michel;  Paris 1983;
8;Du maquis aux parachutistes SAS; ;  J. Quillet ; Atlante éditions ; 2008;
9;Emile Bouétard; caporal dans les Free French Paratroops;  F. Souquet ; Edition d'auteur;  2006;
10;Feux et lumières sur ma trace; ;   P. Chateau-Jobert ; Edition d'auteur ; 1988;
11;Ils ont choisi de vivre la France Libre; ; R. Forgeat ; Atlante Editions ; Paris 1999 ;ISBN 2-912671-10-8
12;J'ai choisi la tempête ;  ;  M. Chamming's ; Editions France-Empire;  Paris 1965 - 1985;
13;La liberté tombée du ciel; ;  H. Déplante ; Editions Ramsay; Paris 1977; ISBN 02-85956-015-7
14;La rage au coeur ; ;  p J. Paulin ; Librairie Damidot; Dijon 1948;
15;Le refus de la honte; ;  R. Hourdin ; Mémoires et Cultures ; 2005;
16;Les bérets rouges; ; H. Corta ; Edition de l'Amicale des anciens parachutistes SAS; Paris 1952;
17;Les compagnons du clair de lune ; ;  H. Déplante ; Edition d'auteur ; 1984;
18;Les Parachutistes SAS de la France libre ; ; D. Portier ; Edition Nimrod; 2011;
19;L'Inconnu du french squadron ; ;  R. Flamand ;Edition d'auteur ; 1983;
20;Ma guerre à seize ans ; ;  par L. Neuwirth ; Editions Plon ; Paris 1986;
21;Paras calédoniens de la France Libre ; ; P. Robineau ; Les Editions du Cagou ; Nouméa 1989;
22;Paras de la France Libre ; ; R. Flamand  ;Presses de la cité; Paris 1976; ISBN 2-258-00036-X
23;Qui ose vaincra ; ;   P Bonnecarrère ; Editions Fayard ; Paris 1971;  ISBN 20253-01011-1
24;Special Air Service; ;  E. Thomé ; Editions Grasset; Paris 1980;
