.welcome,xx,special, __.welcome
edit.links.for,xx,special, __edit.links.for
add.new.linkref,xx,special, __add.new.linkref
.back,xx,special, __.back
.edit,xx,special, __.edit
.delete,xx,special, __.delete
a.link.from,xx,special, __a.link.from
.submit,xx,special, __.submit
edit.this,xx,special, __edit.this
create.this,xx,special, __create.this
.place,xx,special, __.place
bookmark.event,xx,special, __bookmark.event
edit.event,xx,special, __edit.event
.links,xx,special, __.links
participants,xx,special, __participants
child.events,xx,special, __child.events
event.being.edited,xx,special, __event.being.edited
edit.event.detail,xx,special, __edit.event.detail
delete,xx,special, __delete
to.add.location.use.bookmarks,xx,special, __to.add.location.use.bookmarks
images,xx,special, __images
to.add.images.use.bookmarks,xx,special, __to.add.images.use.bookmarks
to.add.link.use.bookmarks,xx,special, __to.add.link.use.bookmarks
.texts,xx,special, __.texts
edit.text,xx,special, __edit.text
no.text,xx,special, __no.text
add.text,xx,special, __add.text
to.add.participation.use.bookmarks,xx,special, __to.add.participation.use.bookmarks
edit.event.new,xx,special, __edit.event.new
new.person,xx,special, __new.person
Register!,xx,special, __Register!
edit.person,xx,special, __edit.person
create.newperson,xx,special, __create.newperson
bookmark.person,xx,special, __bookmark.person
print.transcript,xx,special, __print.transcript
person.a.editer,xx,special, __person.a.editer
participated.in.events,xx,special, __participated.in.events
vue,xx,special, __vue
entrez.chercher,xx,special, __entrez.chercher
chercher,xx,special, __chercher
see.content,xx,special, __see.content
.bookmark,xx,special, __.bookmark
remove.bookmarks,xx,special, __remove.bookmarks
.bookmarks,xx,special, __.bookmarks
new.book,xx,special, __new.book
edit.book,xx,special, __edit.book
bibloLinks,xx,special, __bibloLinks
link.visit,xx,special, __link.visit
bookmark.link,xx,special, __bookmark.link
.book,xx,special, __.book
edit.book.detail,xx,special, __edit.book.detail
book.title,xx,special, __book.title
book.subtitle,xx,special, __book.subtitle
book.author,xx,special, __book.author
book.publisher,xx,special, __book.publisher
book.year,xx,special, __book.year
book.isbn,xx,special, __book.isbn
.reset,xx,special, __.reset
see.location,xx,special, __see.location
edit.location,xx,special, __edit.location
child.of,xx,special, __child.of
location.a.editer,xx,special, __location.a.editer
new.location,xx,special, __new.location
.introduction,xx,special, __.introduction
our.site,xx,special, __our.site
the.men,xx,special, __the.men
the.action,xx,special, __the.action
search.site,xx,special, __search.site
user.profile,xx,special, __user.profile
admin.images,xx,special, __admin.images
admin.locations,xx,special, __admin.locations
admin.content,xx,special, __admin.content
admin.allusers,xx,special, __admin.allusers
admin.messages,xx,special, __admin.messages
new.incident,xx,special, __new.incident
edit.incident,xx,special, __edit.incident
create.new.incident.type,xx,special, __create.new.incident.type
incident.to,xx,special, __incident.to
.during,xx,special, __.during
the.campaign,xx,special, __the.campaign
he.was,xx,special, __he.was
under.the.name.of,xx,special, __under.the.name.of
with.the.role.of,xx,special, __with.the.role.of
.at,xx,special, __.at
.view,xx,special, __.view
on.date,xx,special, __on.date
incident.rank,xx,special, __incident.rank
incident.role,xx,special, __incident.role
browse.locations,xx,special, __browse.locations
les.livres,xx,special, __les.livres
the.links,xx,special, __the.links
admin.labels,xx,special, __admin.labels
make.roh,xx,special, __make.roh
make.actions,xx,special, __make.actions
move.new.images,xx,special, __move.new.images
admin.privacy,xx,special, __admin.privacy
request.new.password,xx,special, __request.new.password
await.stage2,xx,special, __await.stage2
.username,xx,special, __.username
.email,xx,special, __.email
sucessful.completion,xx,special, __sucessful.completion
.reconnect,xx,special, __.reconnect
.register,xx,special, __.register
complete.registration,xx,special, __complete.registration
admin.has.sent.a.message.to,xx,special, __admin.has.sent.a.message.to
message.sent.by,xx,special, __message.sent.by
message.date,xx,special, __message.date
message.subject,xx,special, __message.subject
send.bulk.message,xx,special, __send.bulk.message
message.forwarded.by.admin,xx,special, __message.forwarded.by.admin
message.to,xx,special, __message.to
.recepients,xx,special, __.recepients
.send,xx,special, __.send
message.enyoyer.a,xx,special, __message.enyoyer.a
mail.date.sent,xx,special, __mail.date.sent
mail.sentby,xx,special, __mail.sentby
mail.from,xx,special, __mail.from
mail.subject,xx,special, __mail.subject
read.message,xx,special, __read.message
delete.message,xx,special, __delete.message
message.bcc,xx,special, __message.bcc
contact.us,xx,special, __contact.us
see.admin.messages,xx,special, __see.admin.messages
message.list,xx,special, __message.list
from.admin.to,xx,special, __from.admin.to
.from,xx,special, __.from
view.message,xx,special, __view.message
message.enyoyer,xx,special, __message.enyoyer
mail.body,xx,special, __mail.body
many.users,xx,special, __many.users
this.message.was.sent.by,xx,special, __this.message.was.sent.by
message.to.user,xx,special, __message.to.user
you.have.sent.a.message.to.FFLSAS.org,xx,special, __you.have.sent.a.message.to.FFLSAS.org
a.copy.has.been.sent.to.your.email.address,xx,special, __a.copy.has.been.sent.to.your.email.address
bookmark.content,xx,special, __bookmark.content
edit.content,xx,special, __edit.content
links.to,xx,special, __links.to
edit.contents,xx,special, __edit.contents
FR,xx,special, __FR
EN,xx,special, __EN
content.for.subject,xx,special, __content.for.subject
voir,xx,special, __voir
delete.content,xx,special, __delete.content
new.content,xx,special, __new.content
.subjectid,xx,special, __.subjectid
.language,xx,special, __.language
.title,xx,special, __.title
.public,xx,special, __.public
.admin,xx,special, __.admin
.private,xx,special, __.private
click.me,xx,special, __click.me
.adminstrators,xx,special, __.adminstrators
linked.from,xx,special, __linked.from
the.events,xx,special, __the.events
see.links,xx,special, __see.links
see.books,xx,special, __see.books
user.show,xx,special, __user.show
login.message,xx,special, __login.message
.password,xx,special, __.password
if.password.forgotten,xx,special, __if.password.forgotten
reset.password,xx,special, __reset.password
if.not.registered,xx,special, __if.not.registered
search.results,xx,special, __search.results
found.too.many,xx,special, __found.too.many
found,xx,special, __found
welcome.page,xx,special, __welcome.page
.count,xx,special, __.count
latest.edits,xx,special, __latest.edits
update.translation.files,xx,special, __update.translation.files
new.label,xx,special, __new.label
profil.person,xx,special, __profil.person
edit.user.detail,xx,special, __edit.user.detail
user.email,xx,special, __user.email
user.roles,xx,special, __user.roles
user.lastlogin,xx,special, __user.lastlogin
send.message,xx,special, __send.message
user.membership,xx,special, __user.membership
user.locale,xx,special, __user.locale
user.to.admin,xx,special, __user.to.admin
admin.to.user,xx,special, __admin.to.user
new.user,xx,special, __new.user
users.for.approval,xx,special, __users.for.approval
see.user,xx,special, __see.user
bulk.message,xx,special, __bulk.message
to.send.bulk.email.use.bookmarks,xx,special, __to.send.bulk.email.use.bookmarks
rereg.group,xx,special, __rereg.group
edit.user,xx,special, __edit.user
message.sentby,xx,special, __message.sentby
enter.new.password,xx,special, __enter.new.password
.users,xx,special, __.users
view.user,xx,special, __view.user
delete.user,xx,special, __delete.user
approve.user,xx,special, __approve.user
reject.user,xx,special, __reject.user
rereg.user,xx,special, __rereg.user
user.interet,xx,special, __user.interet
.contributor,xx,special, __.contributor
user.update_dt,xx,special, __user.update_dt
delete.messages,xx,special, __delete.messages
to.admin,xx,special, __to.admin
from.admin,xx,special, __from.admin
.message,xx,special, __.message
forced.registration,xx,special, __forced.registration
new.image,xx,special, __new.image
bookmark.image,xx,special, __bookmark.image
see.image,xx,special, __see.image
create.edit.image,xx,special, __create.edit.image
create.image,xx,special, __create.image
edit.image,xx,special, __edit.image
edit.texts,xx,special, __edit.texts
delete.image,xx,special, __delete.image
.urlinks,xx,special, __.urlinks
new.link,xx,special, __new.link
edit.link,xx,special, __edit.link
delete.link,xx,special, __delete.link
a.link.to,xx,special, __a.link.to
.url,xx,special, __.url
.tags,xx,special, __.tags
.visit,xx,special, __.visit
new.url,xx,special, __new.url
edit,xx,special, __edit
for,xx,special, __for
.for,xx,special, __.for
delete.this,xx,special, __delete.this
this.is.an.edit,xx,special, __this.is.an.edit
.infrench,xx,special, __.infrench
.inenglish,xx,special, __.inenglish
welcome.guest,xx,special, __welcome.guest
awaiting.approval,xx,special, __awaiting.approval
friend,xx,special, __friend
complete.reg,xx,special, __complete.reg
log.in,xx,special, __log.in
log.out,xx,special, __log.out
mail.us,xx,special, __mail.us
edit.participation,xx,special, __edit.participation
create.incident,xx,special, __create.incident
incidents,xx,special, __incidents
edit.participations,xx,special, __edit.participations
image.chance,xx,special, __image.chance
